Sezon,Ora,Temperatura,Umbra,Radiatia Solara,Kw
Toamna,15,20,8,3,221
Vara,8,28,8,10,2224
Iarna,10,-18,32,2,64
Toamna,9,17,70,8,853
Primavara,16,18,60,2,1621
Vara,13,33,22,2,1036
Vara,10,39,47,3,2184
Primavara,16,20,51,10,2046
Vara,10,36,55,8,2548
Iarna,9,-9,11,7,179
Vara,10,37,75,3,4364
Iarna,16,2,7,5,135
Vara,16,36,4,4,1290
Iarna,10,-1,94,10,379
Primavara,12,26,41,7,688
Vara,14,39,62,8,2584
Toamna,8,10,81,9,504
Iarna,13,2,22,9,155
Primavara,15,26,100,2,1239
Toamna,13,21,13,2,181
Toamna,13,22,38,2,332
Vara,12,33,93,2,2872
Toamna,15,16,39,6,349
Vara,14,34,92,3,3738
Toamna,9,25,92,8,955
Toamna,15,25,79,7,856
Iarna,10,-9,51,9,296
Primavara,16,28,69,6,1379
Toamna,14,11,64,10,521
Toamna,15,21,93,7,998
Iarna,10,-13,47,4,185
Toamna,10,22,55,2,729
Iarna,11,-3,79,6,269
Primavara,16,29,34,6,972
Toamna,8,25,87,3,580
Primavara,10,17,82,9,2032
Toamna,16,22,2,5,234
Vara,8,33,100,5,2740
Primavara,10,19,3,2,971
Iarna,9,-16,9,9,169
Toamna,12,23,38,6,476
Primavara,14,21,53,2,1285
Toamna,8,18,56,3,960
Iarna,15,-19,44,7,169
Vara,8,31,60,6,4186
Toamna,10,19,26,3,385
Toamna,15,23,24,3,331
Vara,11,34,74,9,3381
Vara,16,28,59,7,3468
Primavara,9,17,68,2,1356
Toamna,8,24,86,9,947
Iarna,8,-11,79,4,310
Primavara,12,21,47,10,776
Iarna,15,4,42,7,22
Vara,16,26,86,3,2926
Toamna,10,14,75,2,991
Vara,15,39,38,9,2295
Toamna,9,22,35,5,191
Toamna,12,12,72,9,947
Toamna,16,22,60,8,597
Primavara,10,17,81,7,2004
Toamna,10,21,62,8,964
Toamna,8,22,12,3,283
Primavara,16,18,35,10,559
Iarna,14,0,30,10,172
Primavara,10,28,1,8,508
Primavara,16,17,88,6,1206
Toamna,9,12,66,5,528
Iarna,16,-14,79,7,420
Toamna,16,20,58,7,502
Vara,9,33,72,7,3296
Vara,16,32,90,7,3816
Primavara,8,16,84,5,1153
Vara,11,34,91,7,2832
Iarna,11,-19,55,9,324
Iarna,10,0,10,3,49
Iarna,11,-20,1,2,115
Iarna,14,-1,82,4,382
Primavara,15,17,83,3,1395
Vara,12,29,29,2,1887
Toamna,8,15,92,4,530
Vara,12,34,28,7,2018
Vara,15,33,9,7,2248
Primavara,13,29,84,8,2004
Toamna,14,13,87,2,933
Iarna,15,-10,32,4,161
Vara,14,29,62,4,4023
Toamna,16,12,52,7,663
Primavara,9,22,22,7,806
Vara,8,33,21,9,1359
Toamna,9,18,77,10,535
Toamna,15,12,2,10,110
Toamna,15,15,66,8,515
Primavara,12,22,41,6,524
Iarna,16,-17,82,10,325
Primavara,11,28,65,6,2067
Toamna,12,18,33,7,368
Iarna,9,-4,29,4,217
Iarna,16,5,56,4,376
Iarna,12,-2,94,7,316
Iarna,10,-15,89,6,403
Vara,10,36,49,6,1131
Iarna,11,-19,25,2,115
Vara,9,29,72,6,4768
Iarna,14,-11,80,2,346
Vara,16,29,13,8,1509
Primavara,15,21,40,6,937
Primavara,16,21,11,7,723
Iarna,8,2,10,3,92
Toamna,13,21,63,3,961
Vara,15,29,29,9,1711
Toamna,9,23,95,4,625
Toamna,8,17,39,5,479
Toamna,11,20,9,8,402
Vara,10,36,42,4,771
Toamna,11,15,26,8,104
Iarna,11,-14,77,8,455
Primavara,11,25,45,8,714
Toamna,16,16,83,9,876
Primavara,9,16,77,2,1469
Vara,9,29,32,2,2434
Iarna,11,-16,87,7,390
Toamna,11,17,74,7,823
Primavara,8,23,50,8,923
Primavara,15,18,57,6,1865
Toamna,9,11,57,5,844
Vara,11,36,92,3,2913
Primavara,8,25,30,7,797
Iarna,12,-6,62,7,409
Primavara,9,28,55,10,1292
Iarna,14,5,2,8,245
Iarna,15,-13,55,2,399
Iarna,13,-5,61,4,373
Primavara,10,26,99,6,2197
Iarna,12,-14,37,3,152
Iarna,15,-6,51,5,309
Iarna,16,-12,56,10,319
Toamna,14,20,5,5,311
Vara,11,32,80,10,3931
Primavara,12,29,19,9,803
Vara,8,36,38,4,732
Vara,12,33,63,4,2685
Primavara,11,23,80,3,1166
Iarna,16,-16,84,7,493
Toamna,16,13,68,4,671
Toamna,13,14,26,10,227
Primavara,16,22,88,7,1451
Vara,14,39,90,2,3741
Vara,16,33,93,5,3454
Vara,14,25,27,4,1812
Toamna,8,11,0,8,412
Iarna,10,5,78,2,366
Primavara,9,20,85,4,1416
Toamna,9,20,26,4,108
Iarna,15,-12,82,3,284
Vara,8,33,7,6,2330
Iarna,9,-16,78,7,282
Vara,11,34,76,4,4800
Iarna,16,0,63,7,251
Iarna,10,-17,58,6,314
Primavara,12,21,15,10,851
Primavara,13,28,62,5,1154
Primavara,16,26,93,9,1212
Iarna,12,4,25,4,179
Primavara,12,23,56,2,2375
Vara,9,33,40,4,614
Toamna,15,11,25,5,422
Primavara,11,27,87,9,2396
Primavara,12,25,98,5,2367
Primavara,8,16,51,2,1830
Iarna,14,-5,77,7,413
Iarna,11,3,69,8,415
Vara,10,33,21,6,1816
Vara,11,40,62,4,3654
Iarna,10,1,58,4,489
Toamna,9,20,94,8,628
Primavara,9,29,59,4,2302
Toamna,11,19,38,2,211
Primavara,16,17,4,8,673
Toamna,15,13,44,7,398
Toamna,9,19,20,6,389
Toamna,10,25,5,3,390
Toamna,15,20,90,10,878
Toamna,14,20,77,6,696
Toamna,10,13,32,2,381
Toamna,13,24,49,3,179
Vara,9,30,82,8,4439
Primavara,11,29,70,10,2293
Vara,15,27,94,2,3373
Primavara,16,20,1,5,515
Vara,9,35,47,5,680
Toamna,8,21,52,6,684
Toamna,10,12,64,8,658
Iarna,13,-8,90,6,333
Iarna,9,-14,64,4,364
Toamna,11,17,22,10,500
Vara,10,28,98,2,3375
Vara,11,30,83,5,4019
Primavara,10,17,16,10,747
Vara,14,32,37,10,1959
Vara,13,36,100,6,4793
Toamna,13,15,95,5,560
Iarna,9,-12,13,2,229
Toamna,15,20,82,9,843
Vara,12,28,39,7,750
Toamna,15,24,80,8,985
Iarna,10,2,77,6,378
Toamna,10,22,53,7,807
Vara,11,28,71,6,2767
Iarna,11,-9,62,4,463
Vara,9,30,96,7,2505
Primavara,15,18,49,3,596
Iarna,16,-10,2,3,162
Primavara,15,27,2,8,650
Toamna,13,25,69,4,996
Vara,12,31,27,8,968
Iarna,15,-4,63,3,484
Toamna,10,12,27,5,493
Toamna,13,16,23,2,356
Toamna,9,15,52,4,839
Toamna,14,13,44,9,346
Iarna,12,0,30,9,110
Toamna,16,10,36,4,259
Iarna,12,-12,77,6,280
Primavara,9,15,68,2,1697
Primavara,9,24,9,4,840
Vara,9,28,81,4,2951
Toamna,14,15,30,8,221
Toamna,14,12,1,8,135
Iarna,15,3,37,6,127
Vara,8,32,66,7,2573
Primavara,15,22,87,2,1407
Toamna,9,25,67,7,860
Toamna,8,22,93,10,943
Toamna,9,12,9,6,283
Primavara,15,30,74,9,1576
Primavara,8,30,37,3,885
Primavara,12,21,38,10,951
Vara,11,39,61,8,3054
Primavara,13,28,17,6,615
Toamna,12,20,50,3,325
Primavara,13,29,23,9,555
Iarna,10,-5,84,2,455
Vara,15,37,76,2,4410
Vara,14,34,74,8,3592
Vara,14,40,51,10,3816
Vara,9,36,56,6,4556
Primavara,14,18,75,8,2088
Primavara,16,18,78,10,1818
Toamna,13,11,64,5,909
Iarna,11,-10,61,5,451
Toamna,9,20,8,6,175
Primavara,10,23,60,8,1448
Toamna,13,14,26,4,268
Vara,16,40,40,2,563
Iarna,13,-2,63,4,293
Vara,8,36,80,9,4187
Primavara,9,22,68,2,2084
Vara,16,28,34,4,2294
Toamna,10,22,0,6,450
Primavara,14,15,22,5,817
Primavara,8,17,54,6,2286
Iarna,10,-15,95,5,451
Toamna,8,25,69,8,711
Primavara,14,15,23,10,992
Primavara,10,24,92,9,1716
Vara,8,34,20,6,839
Iarna,16,-4,36,8,247
Toamna,12,21,96,4,617
Toamna,9,13,4,9,494
Iarna,11,-7,28,8,186
Toamna,10,13,82,8,828
Toamna,8,19,22,4,205
Primavara,8,27,99,2,1927
Toamna,15,19,19,4,263
Primavara,10,18,11,8,784
Vara,14,40,85,6,3332
Primavara,12,19,70,5,1778
Vara,12,38,67,3,3669
Iarna,10,-12,25,10,115
Vara,15,40,62,4,4916
Iarna,13,5,13,9,10
Vara,9,25,79,7,3397
Toamna,11,23,37,3,115
Iarna,12,-8,91,8,260
Primavara,11,18,92,9,1930
Toamna,13,24,59,9,558
Toamna,14,14,79,3,817
Primavara,16,23,3,7,756
Primavara,16,29,14,9,885
Iarna,9,5,57,9,390
Primavara,10,19,0,7,634
Vara,16,29,76,4,3629
Vara,8,36,48,9,1299
Primavara,14,16,39,6,971
Iarna,12,-19,90,6,309
Toamna,14,14,36,8,304
Primavara,10,27,75,2,1297
Primavara,8,29,2,3,701
Iarna,14,-13,10,9,122
Toamna,14,21,77,8,668
Primavara,11,21,89,4,1096
Vara,9,28,33,9,1384
Iarna,13,2,28,7,120
Primavara,11,22,81,5,2329
Primavara,13,15,90,10,1355
Toamna,12,12,45,3,310
Primavara,10,28,57,9,2002
Iarna,14,-6,48,5,126
Toamna,15,20,30,6,337
Primavara,8,29,98,10,1584
Vara,15,29,81,10,4208
Iarna,16,1,4,5,177
Vara,14,28,81,7,3140
Primavara,16,20,94,6,1126
Vara,13,30,82,5,3095
Vara,8,29,45,7,1891
Vara,12,36,21,7,612
Vara,9,25,55,10,3362
Primavara,12,26,80,7,1325
Primavara,14,25,68,8,1215
Vara,9,36,76,8,3907
Toamna,9,19,27,6,207
Iarna,13,2,47,2,83
Primavara,14,17,67,7,1057
Vara,10,32,63,4,4640
Iarna,16,2,69,6,367
Iarna,15,-14,26,6,21
Iarna,9,-11,56,2,388
Primavara,8,29,6,4,677
Primavara,11,17,98,5,2030
Iarna,12,3,23,10,208
Toamna,13,20,68,3,772
Iarna,14,-12,81,6,358
Primavara,16,24,26,5,903
Primavara,9,24,20,7,815
Iarna,12,-9,12,8,250
Vara,16,25,35,7,541
Toamna,15,24,71,5,871
Iarna,15,-5,42,4,124
Iarna,15,0,53,5,347
Toamna,11,13,67,6,689
Iarna,11,-4,61,7,467
Vara,12,26,9,6,2182
Iarna,13,-13,89,10,494
Iarna,8,-19,21,6,185
Iarna,10,-6,5,5,138
Toamna,10,24,55,9,651
Vara,13,33,77,6,2837
Primavara,14,18,50,7,560
Primavara,16,17,35,10,588
Toamna,12,20,33,6,271
Vara,11,34,22,9,850
Primavara,12,22,13,9,925
Primavara,12,29,21,10,740
Vara,8,28,23,6,1720
Vara,15,31,33,2,2435
Toamna,16,20,16,3,341
Iarna,14,5,55,3,277
Primavara,12,29,40,4,951
Vara,12,31,97,3,3645
Toamna,11,18,54,8,670
Primavara,13,17,10,5,647
Primavara,13,28,86,6,2078
Toamna,15,16,38,9,330
Vara,12,38,45,5,1810
Toamna,16,18,19,10,140
Toamna,11,13,58,4,582
Primavara,16,22,25,4,932
Primavara,10,23,25,10,712
Primavara,11,24,97,4,1510
Vara,8,28,87,7,2627
Primavara,9,28,67,9,1087
Iarna,12,2,17,8,57
Vara,12,40,42,4,2488
Iarna,11,-14,52,10,409
Iarna,8,-7,64,7,395
Primavara,9,30,56,8,1973
Iarna,10,3,47,7,41
Iarna,16,-6,69,6,463
Vara,10,29,0,5,840
Iarna,8,3,90,9,484
Iarna,13,-3,76,5,419
Toamna,8,10,38,4,201
Iarna,16,-6,60,4,276
Vara,9,36,90,9,2927
Toamna,16,18,41,10,481
Vara,14,37,2,10,1050
Iarna,16,3,40,5,49
Toamna,16,25,18,3,490
Toamna,10,22,50,7,499
Vara,14,37,49,4,546
Iarna,11,4,25,2,102
Vara,12,26,28,3,1620
Toamna,8,11,7,3,408
Vara,11,36,95,4,2819
Iarna,9,-10,67,10,460
Iarna,8,1,53,4,348
Primavara,15,15,4,10,761
Vara,11,32,99,3,4010
Vara,8,27,88,5,4948
Primavara,12,17,96,2,1512
Iarna,8,-12,71,4,281
Vara,9,39,81,8,3026
Vara,8,25,21,10,2214
Primavara,16,22,38,3,699
Iarna,16,-8,75,2,310
Primavara,16,26,13,8,957
Iarna,14,-1,12,6,238
Toamna,8,13,84,8,975
Primavara,14,23,32,10,981
Vara,9,28,48,10,2473
Primavara,11,16,94,9,2332
Toamna,9,20,19,10,401
Toamna,10,10,68,4,569
Primavara,13,15,61,5,1238
Vara,9,36,53,9,4121
Vara,13,26,79,7,4989
Primavara,11,22,94,6,2462
Vara,15,33,69,8,4304
Toamna,15,22,41,3,190
Vara,12,35,85,2,2804
Primavara,16,15,50,10,685
Vara,8,40,64,2,2836
Vara,11,40,5,7,1762
Toamna,8,19,15,5,162
Iarna,8,-18,5,10,79
Iarna,9,-20,26,6,68
Primavara,15,25,5,10,521
Vara,10,32,84,2,2813
Primavara,16,27,55,3,2067
Primavara,12,22,43,3,501
Primavara,9,25,1,2,952
Iarna,15,-11,85,6,300
Iarna,9,0,87,7,250
Iarna,14,-17,96,6,346
Primavara,13,23,78,2,2451
Vara,11,26,16,4,862
Vara,11,36,98,9,3230
Vara,12,34,8,5,542
Primavara,8,24,75,3,2357
Vara,9,38,47,6,1482
Primavara,10,24,99,10,1248
Primavara,16,23,43,9,768
Toamna,15,25,37,2,234
Iarna,11,-4,65,6,499
Vara,15,39,21,4,538
Toamna,15,20,65,8,991
Iarna,14,4,45,8,95
Vara,12,27,32,5,1639
Iarna,10,-9,9,2,200
Toamna,10,25,47,10,107
Iarna,8,-5,10,4,107
Iarna,10,-18,2,6,31
Primavara,8,20,48,6,682
Vara,8,29,76,5,4081
Toamna,10,25,29,6,144
Iarna,11,-13,40,8,100
Toamna,8,25,44,10,459
Toamna,12,23,27,5,104
Vara,13,31,36,4,1243
Primavara,11,20,33,2,958
Primavara,13,24,53,4,2415
Primavara,10,23,30,9,505
Iarna,15,0,16,2,231
Toamna,10,25,13,4,362
Toamna,13,22,44,3,301
Vara,15,27,44,5,1994
Iarna,16,1,56,10,288
Iarna,9,-17,98,10,323
Vara,13,28,54,5,4376
Vara,13,38,54,6,3840
Iarna,12,-12,90,8,272
Iarna,16,-8,47,6,141
Toamna,9,10,43,6,175
Primavara,14,17,45,5,983
Primavara,8,23,9,10,720
Primavara,16,20,34,7,825
Iarna,13,-18,50,10,170
Toamna,13,12,14,3,410
Vara,15,29,13,2,1614
Primavara,11,26,96,4,2381
Iarna,13,-15,28,3,114
Vara,10,29,63,10,4740
Primavara,12,19,99,5,1100
Toamna,13,13,44,8,435
Primavara,11,17,63,8,1536
Iarna,14,-3,90,3,315
Vara,12,35,89,3,2794
Primavara,13,18,45,8,919
Iarna,15,-19,77,8,439
Primavara,10,17,4,6,695
Toamna,13,18,83,3,899
Toamna,16,11,6,4,248
Vara,9,26,62,10,4018
Iarna,14,1,95,3,288
Vara,15,37,83,4,4433
Vara,14,37,23,5,2355
Toamna,10,12,2,10,443
Iarna,13,-1,53,5,404
Iarna,12,-1,37,10,224
Toamna,12,25,63,10,922
Primavara,10,27,70,7,2186
Toamna,15,24,17,8,175
Primavara,10,30,20,8,695
Toamna,9,15,10,5,400
Vara,13,27,86,10,3711
Vara,9,29,0,6,1766
Toamna,16,24,34,8,466
Iarna,16,-2,90,7,469
Primavara,11,19,2,4,707
Primavara,10,21,21,6,897
Vara,11,33,92,3,2667
Vara,16,27,56,7,2701
Vara,9,27,63,2,2855
Toamna,10,21,77,10,974
Primavara,9,27,53,6,1731
Iarna,8,-18,70,3,462
Toamna,16,13,96,6,846
Toamna,13,13,11,9,185
Toamna,12,16,60,5,852
Primavara,12,28,1,9,808
Vara,10,33,53,8,2750
Primavara,15,24,92,10,1760
Primavara,13,23,23,9,941
Primavara,8,30,42,6,807
Toamna,11,18,91,2,734
Toamna,9,20,2,3,293
Primavara,11,26,48,5,649
Vara,9,31,77,8,4492
Toamna,14,19,42,6,349
Iarna,8,4,98,7,464
Toamna,13,10,62,7,528
Primavara,9,16,48,9,983
Vara,13,31,40,3,1276
Toamna,13,17,44,6,397
Primavara,9,25,18,3,554
Toamna,16,17,100,7,936
Vara,10,36,58,7,4592
Toamna,11,25,16,2,216
Vara,15,30,81,5,2518
Vara,12,27,34,5,975
Toamna,14,20,99,8,663
Vara,16,28,90,8,3471
Toamna,13,17,77,7,534
Vara,9,36,47,8,955
Vara,16,37,11,3,1315
Toamna,9,22,20,8,108
Iarna,10,-13,18,3,161
Vara,13,28,19,9,1396
Primavara,9,24,35,10,691
Toamna,16,14,96,6,561
Vara,15,31,66,4,4165
Primavara,13,17,53,9,1169
Toamna,16,17,8,2,298
Primavara,12,25,21,2,995
Toamna,11,17,44,5,354
Vara,10,30,50,10,1767
Iarna,10,5,50,7,102
Vara,8,35,68,8,4023
Vara,12,26,76,7,2937
Vara,13,38,87,3,4254
Toamna,12,16,43,6,237
Primavara,15,23,38,5,649
Vara,13,30,100,8,3148
Vara,8,37,71,10,4083
Iarna,15,3,1,7,193
Primavara,11,26,68,3,1060
Primavara,14,20,11,6,600
Iarna,16,-18,1,2,184
Vara,10,39,50,10,1198
Iarna,11,-20,80,8,309
Iarna,14,-9,59,7,497
Iarna,10,-14,47,7,237
Toamna,8,11,28,7,197
Vara,10,35,17,9,965
Toamna,11,23,71,7,797
Vara,13,39,3,9,1736
Iarna,11,4,24,8,91
Primavara,15,27,20,8,671
Toamna,14,10,93,9,666
Primavara,8,17,74,8,1431
Toamna,11,10,61,5,964
Iarna,11,0,97,8,344
Primavara,14,17,64,8,1292
Primavara,12,30,27,7,603
Primavara,12,24,81,8,1394
Primavara,15,29,43,3,867
Toamna,10,13,94,6,833
Toamna,9,15,74,10,638
Primavara,14,19,8,3,795
Iarna,14,-6,12,7,249
Toamna,11,22,16,6,254
Iarna,9,-12,1,2,134
Toamna,11,12,44,6,334
Vara,14,36,25,3,1446
Primavara,8,16,89,5,1864
Vara,12,25,44,7,1695
Vara,11,34,100,5,4854
Vara,11,30,57,3,4792
Iarna,14,-17,37,3,82
Primavara,15,25,39,8,974
Iarna,13,-12,34,3,128
Toamna,16,21,50,4,386
Vara,8,39,16,6,2352
Primavara,16,19,32,9,557
Iarna,8,-18,50,4,210
Primavara,13,28,96,3,1466
Toamna,14,23,47,10,107
Iarna,13,-15,75,4,401
Primavara,14,16,23,6,579
Vara,9,27,9,5,827
Vara,14,33,97,5,3114
Iarna,8,-4,81,5,277
Vara,12,29,4,6,2176
Iarna,15,2,53,4,407
Toamna,16,20,87,4,776
Primavara,10,17,80,5,2170
Iarna,16,-12,12,7,45
Vara,10,36,79,2,2687
Iarna,11,-1,6,3,214
Toamna,10,17,85,8,544
Vara,10,39,30,5,2291
Primavara,13,27,68,7,2229
Primavara,11,23,99,3,1040
Vara,12,27,35,3,2370
Primavara,11,15,41,2,877
Primavara,13,30,66,5,1841
Vara,12,25,60,3,4784
Primavara,14,16,39,3,653
Vara,15,25,28,5,2404
Toamna,13,23,61,2,554
Iarna,13,-19,68,4,433
Iarna,12,-20,17,4,178
Toamna,9,16,27,8,477
Toamna,13,16,5,8,180
Toamna,12,14,94,9,572
Toamna,14,25,59,3,838
Primavara,10,18,24,5,683
Vara,16,30,33,5,2186
Toamna,15,20,45,8,344
Iarna,11,-17,91,9,342
Iarna,14,3,14,2,150
Vara,16,37,93,4,4012
Vara,15,38,25,6,1877
Iarna,15,-7,74,5,271
Iarna,15,3,21,8,94
Toamna,11,23,64,5,630
Primavara,14,19,39,7,863
Iarna,12,2,41,10,157
Toamna,13,11,78,3,904
Vara,11,32,77,7,4589
Primavara,14,24,3,5,861
Vara,12,33,81,7,3408
Primavara,16,23,41,10,709
Vara,14,39,36,6,2073
Iarna,16,-6,16,5,41
Toamna,16,25,75,9,878
Primavara,11,17,70,4,2299
Primavara,10,19,92,6,1611
Vara,13,39,72,4,4811
Toamna,16,10,38,2,366
Iarna,9,5,24,8,105
Iarna,11,-1,16,3,244
Iarna,14,-3,11,10,49
Toamna,14,12,16,9,255
Toamna,12,20,6,6,382
Toamna,12,10,7,4,315
Toamna,14,20,100,5,944
Primavara,13,23,68,6,2293
Primavara,14,27,11,4,927
Iarna,14,-20,21,10,206
Toamna,10,18,70,3,647
Vara,14,25,8,6,1187
Primavara,13,15,24,4,851
Primavara,13,22,28,5,938
Toamna,9,14,43,2,155
Iarna,15,-19,2,3,46
Toamna,13,15,7,2,373
Toamna,13,13,54,8,964
Iarna,11,-6,95,8,499
Primavara,9,20,14,9,637
Primavara,11,15,77,6,1118
Iarna,10,-12,29,5,52
Primavara,10,24,17,8,662
Vara,15,34,9,10,1254
Vara,14,25,11,4,1748
Iarna,14,-12,68,3,325
Toamna,14,25,72,4,648
Primavara,9,27,48,4,915
Iarna,16,-13,76,10,372
Vara,16,32,82,3,2774
Vara,13,37,46,7,2491
Toamna,10,22,50,3,395
Toamna,8,23,42,4,152
Primavara,12,17,55,8,1544
Iarna,16,3,61,9,300
Primavara,9,19,71,7,1183
Iarna,10,-19,90,3,416
Toamna,14,19,0,10,186
Toamna,14,23,10,2,412
Toamna,10,25,62,3,728
Toamna,13,22,35,7,422
Iarna,10,3,16,8,200
Vara,14,26,89,6,4484
Primavara,10,21,60,8,2419
Toamna,14,13,70,9,538
Iarna,10,4,14,10,29
Toamna,11,22,7,10,448
Primavara,11,25,94,7,2196
Iarna,10,-4,79,10,383
Iarna,10,-20,15,6,75
Primavara,14,19,91,6,1076
Vara,15,38,92,7,4155
Iarna,8,4,79,5,296
Vara,10,28,30,8,653
Toamna,9,20,5,4,363
Toamna,9,22,34,4,292
Toamna,13,24,9,6,332
Primavara,10,22,68,6,1965
Vara,16,38,92,7,3919
Vara,14,28,59,4,4930
Toamna,14,10,39,10,268
Iarna,10,-17,9,6,45
Toamna,8,10,68,2,988
Iarna,12,3,45,7,183
Toamna,8,17,100,8,719
Toamna,12,23,46,10,387
Vara,12,31,8,7,802
Toamna,12,22,52,2,560
Toamna,16,17,39,4,360
Primavara,12,17,82,9,1575
Toamna,11,25,99,10,859
Toamna,10,16,1,6,455
Iarna,10,2,95,9,383
Primavara,14,27,32,3,879
Primavara,11,19,54,3,2074
Toamna,14,15,84,4,770
Vara,16,31,66,6,4305
Vara,8,29,11,3,1876
Iarna,8,-2,1,8,68
Toamna,16,14,67,8,773
Toamna,9,13,67,3,693
Iarna,13,1,16,2,227
Vara,12,39,63,9,3450
Vara,16,26,31,2,1838
Iarna,16,-3,82,6,431
Primavara,9,23,5,5,810
Primavara,15,17,21,8,904
Vara,16,33,76,3,4263
Iarna,14,-17,61,3,335
Iarna,16,-15,7,2,206
Toamna,16,19,66,4,658
Toamna,16,25,42,6,302
Primavara,13,22,36,9,901
Vara,10,29,89,7,2744
Toamna,12,16,51,6,644
Iarna,10,1,20,2,235
Vara,9,33,3,2,1371
Vara,15,37,59,10,3516
Toamna,16,23,88,6,932
Vara,10,32,40,10,1098
Vara,9,36,98,3,3039
Vara,8,25,56,4,2583
Iarna,15,-11,87,3,468
Primavara,8,28,21,5,981
Primavara,16,18,73,7,2062
Vara,16,39,43,9,1297
Iarna,10,3,30,3,158
Vara,8,28,37,5,1538
Vara,11,26,2,9,2251
Toamna,10,11,88,9,856
Vara,9,40,16,2,1478
Vara,13,38,77,4,3846
Vara,14,37,34,7,2256
Toamna,14,23,4,7,377
Iarna,10,-4,25,10,124
Toamna,8,25,96,7,561
Toamna,11,17,81,9,727
Iarna,8,3,46,5,57
Iarna,8,-6,19,9,125
Iarna,16,-6,24,5,233
Primavara,16,16,51,3,2217
Primavara,11,20,54,10,1928
Iarna,15,-20,46,9,142
Toamna,13,15,39,2,284
Iarna,9,1,68,8,472
Toamna,11,20,70,6,520
Toamna,15,17,13,9,170
Primavara,11,20,39,4,901
Vara,8,37,42,9,2312
Toamna,14,25,11,7,284
Primavara,13,24,28,4,629
Toamna,12,15,14,5,385
Toamna,10,14,73,6,890
Iarna,16,-9,4,3,218
Toamna,14,24,68,2,841
Iarna,8,-13,99,3,415
Vara,14,27,86,9,2701
Iarna,12,-19,78,3,280
Primavara,10,28,23,2,725
Vara,8,30,60,5,4776
Iarna,9,-13,14,8,38
Toamna,15,19,69,7,926
Vara,14,39,61,8,3559
Toamna,14,25,91,5,934
Iarna,11,-11,9,10,46
Primavara,8,19,32,7,503
Primavara,8,24,28,4,720
Vara,13,31,55,5,4013
Toamna,11,16,95,5,599
Vara,16,25,68,7,4388
Vara,9,35,7,7,1389
Primavara,10,23,80,10,1217
Iarna,15,-7,38,4,164
Toamna,13,19,81,6,746
Toamna,11,17,39,8,302
Toamna,9,25,11,2,402
Vara,15,28,81,10,4483
Iarna,13,-2,41,5,96
Toamna,11,15,99,7,511
Primavara,11,23,73,10,1281
Toamna,16,16,6,10,405
Vara,16,31,93,7,2746
Iarna,9,-7,6,7,158
Primavara,11,30,77,2,1391
Primavara,16,30,53,8,2263
Primavara,11,20,31,10,630
Iarna,9,-16,89,4,434
Primavara,14,18,33,9,569
Iarna,10,-16,78,10,290
Primavara,15,19,71,4,2221
Primavara,16,26,6,10,671
Toamna,13,17,75,2,782
Primavara,8,24,98,4,2034
Vara,13,33,45,7,1755
Toamna,11,22,68,9,505
Iarna,14,-17,32,10,106
Primavara,8,15,84,9,2241
Primavara,11,23,82,9,1144
Primavara,10,15,41,4,558
Primavara,12,20,75,2,1748
Vara,12,25,17,9,2295
Iarna,16,-15,19,4,5
Primavara,15,20,20,7,989
Vara,16,32,100,4,3817
Iarna,8,2,64,6,353
Primavara,10,17,82,10,1181
Toamna,15,22,99,6,992
Toamna,16,21,97,7,804
Toamna,9,19,38,8,423
Primavara,12,29,42,8,562
Vara,10,29,83,8,2590
Iarna,14,-13,3,5,94
Vara,10,32,19,4,1112
Vara,9,39,79,7,3019
Iarna,8,-7,36,9,24
Iarna,9,-3,68,4,488
Iarna,11,0,95,5,339
Vara,11,29,55,7,2578
Iarna,9,2,24,6,165
Primavara,10,20,91,2,2242
Toamna,12,22,63,9,632
Iarna,15,-12,40,9,229
Vara,12,33,19,5,1451
Iarna,14,-4,65,2,389
Iarna,15,-14,16,3,115
Vara,9,30,90,3,4971
Vara,8,34,86,2,4613
Iarna,10,-19,8,2,110
Toamna,16,19,82,10,622
Toamna,13,13,90,7,505
Toamna,11,12,45,2,146
Toamna,14,21,25,6,254
Primavara,16,18,15,8,707
Vara,9,29,85,6,3838
Vara,8,38,9,3,1367
Primavara,15,18,72,4,2257
Primavara,16,25,83,7,2351
Iarna,13,0,58,5,369
Iarna,10,2,37,2,190
Iarna,8,-11,92,2,486
Iarna,10,-17,42,6,247
Primavara,8,18,46,8,773
Iarna,10,-12,29,7,177
Vara,10,39,68,5,4067
Primavara,10,26,85,4,1962
Iarna,12,-8,79,7,455
Vara,9,38,6,9,984
Vara,11,31,79,8,4599
Toamna,15,25,76,2,854
Iarna,11,-1,56,6,262
Iarna,15,-2,60,10,407
Toamna,8,11,53,3,646
Iarna,11,-1,93,10,351
Iarna,8,-16,64,8,432
Iarna,16,-9,16,8,178
Iarna,14,0,26,5,202
Toamna,9,17,17,2,101
Vara,8,29,9,3,1442
Vara,13,26,94,5,3653
Vara,9,35,87,9,3746
Toamna,13,10,89,4,567
Iarna,13,-11,40,5,31
Vara,15,26,37,10,2425
Primavara,9,25,58,9,1788
Primavara,12,26,41,10,649
Vara,13,33,29,9,967
Toamna,15,10,93,4,568
Vara,11,34,66,10,4993
Iarna,11,-15,75,4,440
Toamna,11,17,26,3,243
Toamna,15,19,69,6,739
Vara,8,30,12,6,806
